open,high,low,close
4.2,4.51,4.17,4.47
4.56,4.67,4.47,4.51
4.54,4.56,4.38,4.46
4.41,4.54,4.32,4.52
4.4,4.47,4.3,4.32
4.32,4.48,4.32,4.4
4.4,4.51,4.33,4.39
4.44,4.48,4.3,4.42
4.5,4.75,4.46,4.75
4.75,5.27,4.68,5.26
5.39,5.45,5.09,5.1
5.1,5.5,5.09,5.45
5.46,5.52,4.96,5.02
5.17,5.26,5.05,5.21
4.82,5.07,4.76,4.88
4.88,5.05,4.65,4.72
4.95,5.19,4.91,5.12
5.31,5.4,5.1,5.13
5.13,5.19,4.95,5.14
5.09,5.14,5.0,5.07
5.03,5.05,4.88,4.96
4.91,5.11,4.9,5.04
5.07,5.1,4.94,5.02
4.84,5.15,4.82,5.1
5.13,5.19,5.0,5.01
5.01,5.17,5.01,5.14
5.14,5.19,5.04,5.09
5.15,5.24,5.06,5.17
5.2,5.2,5.1,5.14
5.19,5.57,5.13,5.51
5.5,5.55,5.34,5.41
5.48,5.5,5.4,5.41
5.43,5.45,5.1,5.22
5.73,5.97,5.45,5.84
5.93,6.95,5.92,6.7
6.76,7.16,6.71,6.98
6.93,6.98,6.68,6.85
6.79,6.98,6.74,6.82
6.88,6.96,6.75,6.86
6.89,6.92,6.57,6.64
6.56,6.6,6.15,6.26
6.18,6.45,6.15,6.3
6.39,6.61,6.37,6.47
6.56,6.76,6.47,6.61
6.7,6.85,6.65,6.68
6.75,6.78,6.54,6.6
6.35,6.58,6.25,6.49
6.5,6.59,6.46,6.58
6.6,6.79,6.55,6.73
6.79,6.97,6.78,6.95
6.94,6.94,6.65,6.78
6.7,6.75,6.61,6.68
6.74,7.07,6.73,7.04
7.24,8.0,7.22,7.62
7.83,7.95,7.37,7.58
7.66,7.74,7.53,7.67
7.67,7.67,7.37,7.43
7.49,7.49,7.2,7.47
7.49,7.8,7.46,7.67
7.72,7.79,7.57,7.59
7.61,7.64,7.41,7.49
7.52,7.52,7.28,7.4
7.18,7.44,7.09,7.35
7.49,7.64,7.38,7.51
7.56,7.6,7.25,7.34
7.05,7.07,6.78,6.84
6.64,6.65,6.15,6.23
6.23,6.24,5.85,5.9
5.83,6.07,5.77,5.94
5.92,5.95,5.66,5.74
5.75,6.08,5.75,6.04
6.09,6.2,5.95,6.02
6.22,6.22,5.97,6.05
6.12,6.28,6.08,6.16
6.23,6.28,6.12,6.17
6.2,6.32,6.14,6.29
6.35,6.44,6.33,6.37
6.31,6.65,6.31,6.55
6.54,6.54,6.31,6.32
6.45,6.58,6.29,6.54
6.57,6.65,6.48,6.59
6.57,6.73,6.54,6.67
6.7,7.04,6.7,6.91
6.95,7.15,6.87,6.95
7.0,7.09,6.89,6.97
6.97,7.01,6.7,6.78
6.72,6.98,6.63,6.96
6.92,6.96,6.62,6.75
6.82,6.94,6.8,6.84
6.8,6.84,6.38,6.5
6.64,6.77,6.42,6.62
6.5,6.54,6.24,6.49
6.92,7.12,6.74,6.75
6.92,6.97,6.64,6.67
6.76,6.89,6.69,6.73
6.7,6.8,6.57,6.77
6.81,6.98,6.77,6.96
6.5,6.65,6.37,6.52
6.57,7.01,6.54,7.01
6.9,7.5,6.87,7.5
7.4,7.48,7.26,7.29
7.44,7.46,7.1,7.11
7.1,7.53,7.02,7.2
7.24,7.46,7.2,7.23
