open,high,low,close
1.165,1.174,1.15,1.156
1.163,1.1695,1.15775,1.15825
1.1585,1.16275,1.145,1.1545
1.1505,1.18625,1.148,1.1845
1.1705,1.181,1.1535,1.155
1.15625,1.1925,1.15625,1.16975
1.167,1.1775,1.154,1.172
1.18175,1.19425,1.16875,1.184
1.17525,1.19075,1.16375,1.18875
1.19025,1.1905,1.16325,1.168
1.18675,1.20425,1.186,1.189
1.194,1.19725,1.18,1.18175
1.18425,1.192,1.17875,1.18075
1.192,1.2135,1.19125,1.21225
1.1625,1.184,1.1325,1.14325
1.13375,1.1425,1.11425,1.131
1.1525,1.15375,1.13175,1.1475
1.1575,1.17525,1.1545,1.16625
1.16825,1.1825,1.15875,1.17525
1.16875,1.184,1.1625,1.1665
1.16,1.18575,1.15075,1.18375
1.1755,1.19825,1.1695,1.19125
1.19925,1.2265,1.19375,1.22225
1.23525,1.27725,1.2305,1.27125
1.2895,1.31,1.288,1.3005
1.315,1.332,1.2985,1.32
1.3225,1.33,1.3175,1.3195
1.3265,1.345,1.3155,1.333
1.316,1.3235,1.296,1.3175
1.33375,1.33575,1.31925,1.32425
1.3235,1.34325,1.321,1.338
1.3425,1.36275,1.337,1.3555
1.3525,1.35675,1.326,1.3305
1.33525,1.36675,1.3255,1.36675
1.375,1.39525,1.369,1.392
1.40425,1.423,1.40225,1.41575
1.428,1.4305,1.393,1.4015
1.40475,1.415,1.40025,1.4045
1.40975,1.43125,1.3845,1.4275
1.4335,1.43875,1.409,1.41825
1.425,1.42575,1.3875,1.401
1.39925,1.4075,1.3915,1.40475
1.4115,1.43725,1.40875,1.43075
1.44725,1.45575,1.44025,1.455
1.475,1.4785,1.453,1.4685
1.47575,1.4865,1.4685,1.47225
1.48525,1.4875,1.458,1.46275
1.4705,1.49875,1.4675,1.4925
1.5475,1.5845,1.51575,1.576
1.57775,1.5875,1.55325,1.5745
1.57225,1.57475,1.56025,1.565
1.565,1.5685,1.5165,1.52875
1.5265,1.555,1.5205,1.5525
1.55175,1.56825,1.545,1.5565
1.56125,1.56525,1.54275,1.563
1.576,1.583,1.56825,1.57275
1.57825,1.579,1.54125,1.5485
1.549,1.54975,1.519,1.53825
1.54225,1.5595,1.53,1.55075
1.557,1.56325,1.54725,1.54975
1.54775,1.556,1.5365,1.54075
1.54375,1.548,1.529,1.5335
1.53475,1.5845,1.5335,1.57875
1.582,1.58375,1.5455,1.56325
1.56875,1.578,1.56075,1.578
1.573,1.58075,1.54575,1.55475
1.55325,1.5685,1.5355,1.566
1.54875,1.5575,1.475,1.488
1.46825,1.52175,1.433,1.51875
1.515,1.5325,1.48825,1.49675
1.50025,1.515,1.48775,1.51
1.5125,1.569,1.509,1.56725
1.57275,1.58125,1.553,1.571
1.5875,1.6315,1.58025,1.59175
1.61,1.61,1.5685,1.57725
1.582,1.6245,1.58175,1.6215
1.631,1.636,1.61625,1.6255
1.6275,1.63225,1.6165,1.62375
1.60525,1.615,1.58825,1.6085
1.60225,1.666,1.6015,1.6635
1.666,1.67075,1.64825,1.6695
1.66675,1.69025,1.65125,1.685
1.69425,1.72975,1.68425,1.713
1.713,1.73775,1.70825,1.71125
1.71375,1.7425,1.69475,1.7075
1.722,1.7395,1.7005,1.70575
1.68525,1.69575,1.6565,1.6835
1.69475,1.69925,1.6665,1.67125
1.68,1.689,1.66175,1.6775
1.672,1.6745,1.6405,1.65325
1.6465,1.6695,1.63275,1.66075
1.64125,1.645,1.5925,1.63375
1.65375,1.665,1.64,1.64975
1.6495,1.665,1.638,1.64025
1.663,1.67475,1.65625,1.66525
1.654,1.6695,1.6455,1.66175
1.68125,1.69875,1.6575,1.69325
1.68725,1.6915,1.6725,1.6885
1.7,1.76975,1.69975,1.76775
1.76475,1.8075,1.75625,1.79675
1.78175,1.82375,1.78,1.804
1.81775,1.82125,1.75975,1.767
1.7755,1.8025,1.76075,1.764
1.76975,1.79075,1.76875,1.779
1.7855,1.79525,1.70725,1.72625
1.7395,1.763,1.716,1.719
1.727,1.7285,1.666,1.699
1.68775,1.71825,1.6645,1.68925
