open,high,low,close
2.17,2.200625,2.160833,2.183333
2.190417,2.19375,2.16375,2.167917
2.179792,2.19125,2.154167,2.1775
2.151458,2.174375,2.138958,2.167917
2.109583,2.120417,2.071458,2.095
2.059792,2.092708,2.033333,2.04125
2.024583,2.062292,1.995833,2.042292
2.055625,2.062292,2.012708,2.023958
1.994167,2.046458,1.95375,2.038542
2.030208,2.030208,1.955208,1.96875
2.039375,2.065208,2.00125,2.004167
2.016458,2.036875,2.002292,2.024167
2.03,2.063542,2.005208,2.011042
2.057708,2.096667,2.032292,2.095833
1.875,1.965625,1.825,1.839167
1.797292,1.799792,1.704167,1.732083
1.784792,1.843125,1.783125,1.840625
1.885625,1.949792,1.882083,1.93625
1.947917,2.008958,1.929167,2.006667
2.003125,2.058542,2.000833,2.034167
2.007917,2.011667,1.965833,1.998125
1.970833,2.049583,1.951458,2.045208
2.054375,2.079167,2.036458,2.064583
2.095208,2.165,2.089583,2.16
2.184583,2.222083,2.1825,2.196875
2.237708,2.249167,2.222708,2.231458
2.249583,2.250833,2.214375,2.215833
2.259792,2.272917,2.243958,2.260833
2.275417,2.279375,2.234375,2.248125
2.254167,2.305833,2.252292,2.292917
2.270833,2.29,2.257083,2.269167
2.303958,2.360833,2.297292,2.346875
2.353958,2.36625,2.312917,2.332917
2.338333,2.36875,2.315417,2.36
2.354792,2.362292,2.3375,2.362083
2.359792,2.395,2.333333,2.37
2.428125,2.436875,2.387708,2.41625
2.429583,2.451667,2.406667,2.4425
2.46,2.47875,2.43625,2.458542
2.464583,2.516042,2.455417,2.497083
2.486458,2.493542,2.393125,2.440833
2.435417,2.465208,2.430625,2.463958
2.463333,2.493125,2.445208,2.486042
2.52625,2.573958,2.515625,2.557917
2.562292,2.56375,2.524375,2.549792
2.554167,2.590208,2.55,2.566667
2.568542,2.5725,2.526042,2.546875
2.570833,2.595833,2.556875,2.579792
2.564583,2.584583,2.557083,2.584583
2.59375,2.634375,2.59125,2.617083
2.601875,2.604167,2.572292,2.575833
2.575833,2.589792,2.532917,2.587917
2.579792,2.600417,2.566667,2.590417
2.57625,2.603542,2.554583,2.586875
2.574583,2.606042,2.56125,2.589375
2.620833,2.635833,2.602917,2.604792
2.601042,2.612292,2.530208,2.554583
2.534375,2.565833,2.525625,2.5425
2.545833,2.603333,2.508333,2.554792
2.55625,2.584792,2.554792,2.561875
2.5525,2.573958,2.512917,2.53875
2.527708,2.539167,2.498958,2.532083
2.53375,2.55875,2.49625,2.543333
2.588542,2.603958,2.546042,2.573125
2.588542,2.622917,2.570833,2.620833
2.628958,2.640417,2.597708,2.625625
2.604167,2.605625,2.560625,2.580625
2.517708,2.533333,2.385,2.385
2.349167,2.52375,2.344792,2.507292
2.47375,2.4975,2.410208,2.448125
2.454375,2.520833,2.451875,2.479583
2.483333,2.606875,2.48125,2.594583
2.588125,2.600417,2.554167,2.591667
2.611458,2.636042,2.543958,2.557708
2.583333,2.604167,2.56,2.571875
2.604167,2.658542,2.560208,2.646667
2.69625,2.72,2.686667,2.708542
2.7,2.701458,2.6475,2.659792
2.613958,2.623333,2.580833,2.59375
2.590833,2.672083,2.580833,2.667292
2.676875,2.686667,2.64125,2.681875
2.670417,2.683542,2.589792,2.625
2.649167,2.705625,2.636042,2.678958
2.669792,2.680833,2.638542,2.672917
2.691875,2.711458,2.628542,2.657708
2.681875,2.711458,2.678125,2.685417
2.675417,2.698542,2.643125,2.68125
2.689792,2.699792,2.625417,2.66375
2.703125,2.732708,2.701667,2.711458
2.705833,2.709167,2.563542,2.599375
2.602083,2.618125,2.5675,2.593958
2.539792,2.584583,2.493125,2.563542
2.598125,2.631667,2.567083,2.569375
2.56875,2.582083,2.541458,2.551667
2.640625,2.654792,2.614583,2.617083
2.612292,2.628542,2.603958,2.618125
2.606042,2.625417,2.562917,2.607083
2.612708,2.641458,2.588125,2.635417
2.68875,2.736875,2.686667,2.731458
2.733958,2.737917,2.693542,2.704167
2.652083,2.695,2.627083,2.652292
2.684792,2.69125,2.603333,2.615208
2.590417,2.632083,2.541667,2.57
2.595,2.595,2.554167,2.555417
2.571875,2.571875,2.43375,2.502917
2.494583,2.511458,2.421042,2.437708
2.427708,2.450625,2.358542,2.3675
2.345625,2.397292,2.32875,2.340625
2.453958,2.51625,2.444375,2.508333
2.5,2.59125,2.483333,2.5575
2.466875,2.604792,2.459792,2.593333
2.624792,2.639583,2.363958,2.47
2.431875,2.485833,2.408333,2.467917
2.4725,2.477917,2.3575,2.384583
2.445,2.517708,2.438125,2.495
2.457292,2.543542,2.457292,2.535625
2.533958,2.594375,2.518125,2.594375
2.599167,2.616042,2.557292,2.565208
2.581458,2.650417,2.580417,2.642292
2.674375,2.6875,2.6475,2.666042
2.640417,2.649375,2.6,2.633958
2.646458,2.663333,2.635625,2.659375
2.647292,2.679167,2.63375,2.644583
2.646875,2.706667,2.6275,2.67
2.675417,2.681875,2.569375,2.583542
2.570417,2.570625,2.426458,2.441667
2.443958,2.4825,2.422292,2.451458
2.491042,2.539167,2.456667,2.508125
2.5275,2.540625,2.496667,2.52625
2.511458,2.6325,2.489583,2.62
2.626667,2.657292,2.611458,2.636042
2.665833,2.702292,2.665833,2.697708
2.660833,2.677917,2.629583,2.660208
2.689167,2.806875,2.685417,2.764167
2.769583,2.799583,2.720417,2.743958
2.751458,2.80625,2.736667,2.760625
2.773542,2.791458,2.711875,2.727083
2.738542,2.810417,2.72625,2.760417
2.782083,2.807292,2.777083,2.79375
2.794792,2.800417,2.766458,2.783958
2.785208,2.788958,2.73,2.759792
2.748542,2.769583,2.739583,2.768333
2.783333,2.856875,2.780417,2.80875
2.825833,2.834792,2.737708,2.74375
2.742292,2.759583,2.705833,2.730417
2.746042,2.747708,2.625,2.650625
2.700208,2.747708,2.674375,2.714792
2.727292,2.77625,2.72375,2.761042
2.75875,2.813542,2.75625,2.81
2.815208,2.903333,2.79375,2.88125
2.888333,2.925,2.8825,2.910417
2.909167,2.954583,2.893958,2.927083
2.929167,2.951667,2.88625,2.949583
2.920417,2.943333,2.855417,2.934583
2.944167,2.9825,2.943333,2.968333
2.941667,2.958333,2.915,2.940417
2.954167,2.96625,2.930417,2.960417
2.96875,3.001667,2.935833,2.9525
2.991667,3.014583,2.95,2.971667
2.9625,2.991667,2.92375,2.978333
2.994583,3.053333,2.982083,3.040417
3.095417,3.13375,3.08875,3.129167
3.143333,3.160833,3.125417,3.142083
3.158333,3.1675,3.128333,3.157083
3.12375,3.125417,3.0325,3.085417
3.05375,3.068333,3.012083,3.068333
3.128333,3.146667,3.086667,3.126667
3.110833,3.147917,3.085,3.11875
3.13125,3.15625,3.121667,3.145833
3.130417,3.159167,3.122083,3.1575
3.174167,3.212083,3.169167,3.19
3.17875,3.220417,3.16125,3.207917
3.216667,3.26375,3.211667,3.24125
3.26375,3.2875,3.247083,3.273333
3.304167,3.342917,3.299167,3.330833
3.332917,3.363333,3.301667,3.362083
3.357917,3.426667,3.35,3.42
3.428333,3.44875,3.3925,3.417083
3.402917,3.4625,3.400833,3.46
